sales,profit,shipping_cost,unit_price,quantity,discount,heavy_discount,heavy_discount_regions,non_profitable,non_profitable_regions,more_qty,more_qty_regions,category_Furniture,category_Office Supplies,category_Technology
221.98,62.15440000000001,40.77,110.99,2,0.0,0,0,0,0,0,1,0,0,1
341.96,54.713599999999985,25.27,170.98,2,0.0,0,0,0,0,0,1,1,0,0
48.712,5.480099999999997,11.13,48.712,1,0.2,0,0,0,0,0,1,1,0,0
17.94,4.6644000000000005,4.29,5.98,3,0.0,0,0,0,0,1,1,0,1,0
12.624,-2.524800000000002,1.97,6.312,2,0.2,0,0,1,0,0,1,0,1,0
242.94,4.858800000000016,1.28,80.98,3,0.0,0,0,0,0,1,1,0,1,0
247.84,121.4416,55.2,30.98,8,0.0,0,0,0,0,1,1,0,1,0
668.16,75.16799999999992,45.74,74.24,9,0.2,0,0,0,0,1,1,0,0,1
323.1,61.38900000000001,26.7,161.55,2,0.0,0,0,0,0,0,1,0,1,0
279.456,20.959199999999996,11.69,46.576,6,0.2,0,0,0,0,1,1,1,0,0
34.769999999999996,11.474099999999996,8.22,11.589999999999998,3,0.0,0,0,0,0,1,1,0,0,1
86.45,38.038000000000004,5.73,12.35,7,0.0,0,0,0,0,1,1,1,0,0
49.408,18.528,2.84,12.352,4,0.2,0,0,0,0,1,1,0,1,0
18.9,8.693999999999999,1.3,6.3,3,0.0,0,0,0,0,1,1,0,1,0
9.912,3.3452999999999995,1.2,3.3040000000000003,3,0.2,0,0,0,0,1,1,0,1,0
8.0,3.84,1.15,4.0,2,0.0,0,0,0,0,0,1,0,1,0
18.704,2.3379999999999983,1.13,2.672,7,0.2,0,0,0,0,1,1,0,1,0
695.7,-27.827999999999975,160.19,347.85,2,0.5,1,0,1,0,0,1,0,0,1
477.666,84.29399999999997,43.01,238.833,2,0.15,0,0,0,0,0,1,1,0,0
88.07400000000001,-58.71599999999998,23.88,12.582000000000003,7,0.7,1,0,1,0,1,1,0,1,0
171.288,-6.423300000000026,12.65,57.096000000000004,3,0.2,0,0,1,0,1,1,1,0,0
28.854000000000006,-21.159599999999998,5.35,4.809000000000001,6,0.7,1,0,1,0,1,1,0,1,0
65.78,32.2322,4.36,5.98,11,0.0,0,0,0,0,1,1,0,1,0
31.4,7.850000000000001,3.81,15.7,2,0.0,0,0,0,0,0,1,0,1,0
36.28800000000001,12.700800000000001,1.99,5.184000000000002,7,0.2,0,0,0,0,1,1,0,1,0
15.66,-12.527999999999995,1.56,3.132,5,0.7,1,0,1,0,1,1,0,1,0
449.56800000000004,-73.05480000000007,47.81,224.78400000000002,2,0.2,0,0,1,0,0,1,1,0,0
160.32,44.8896,13.75,80.16,2,0.0,0,0,0,0,0,1,0,1,0
108.96000000000001,32.68799999999999,11.57,36.32,3,0.0,0,0,0,0,1,1,0,0,1
67.8,31.188,7.97,6.779999999999999,10,0.0,0,0,0,0,1,1,0,1,0
167.94,82.2906,6.61,55.98,3,0.0,0,0,0,0,1,1,0,1,0
24.56,11.543199999999999,6.53,12.28,2,0.0,0,0,0,0,0,1,0,1,0
49.12,23.086399999999998,6.22,12.28,4,0.0,0,0,0,0,1,1,0,1,0
79.99,28.7964,5.44,79.99,1,0.0,0,0,0,0,0,1,0,0,1
127.88,40.9216,3.15,63.94,2,0.0,0,0,0,0,0,1,1,0,0
46.0,20.7,2.72,11.5,4,0.0,0,0,0,0,1,1,0,1,0
27.93,8.099699999999999,2.16,9.31,3,0.0,0,0,0,0,1,1,0,1,0
18.54,8.713799999999999,1.69,9.27,2,0.0,0,0,0,0,0,1,0,1,0
3.048,1.0668,1.67,3.048,1,0.2,0,0,0,0,0,1,0,1,0
6.79,2.3086,1.31,6.79,1,0.0,0,0,0,0,0,1,0,0,1
20.736000000000004,7.2576,1.23,5.184000000000001,4,0.2,0,0,0,0,1,1,0,1,0
4.41,2.0286,1.21,4.41,1,0.0,0,0,0,0,0,1,0,1,0
637.896,-127.57919999999996,188.95,212.63199999999998,3,0.3,1,0,1,0,1,1,1,0,0
210.68,50.563199999999995,79.52,105.34,2,0.0,0,0,0,0,0,1,1,0,0
240.744,-13.756799999999984,68.01,60.186,4,0.3,1,0,1,0,1,1,1,0,0
231.72,11.585999999999984,43.08,115.86,2,0.0,0,0,0,0,0,1,0,1,0
196.45,70.72199999999998,36.52,39.29,5,0.0,0,0,0,0,1,1,1,0,0
165.60000000000002,-6.210000000000015,11.15,55.20000000000001,3,0.2,0,0,1,0,1,1,0,0,1
137.31,54.900000000000006,11.13,137.31,1,0.0,0,0,0,0,0,0,0,1,0
35.0,14.700000000000003,8.98,8.75,4,0.0,0,0,0,0,1,1,1,0,0
